1429626653184|374|statement|connection 1|     create table person (         id varchar(50) not null,         address varchar(100),         name varchar(100),         primary key (id)     )|
1429679895097|72|statement|connection 2|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429679895141|0|commit|connection 2||
1429680233994|58|statement|connection 2|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429680234033|0|commit|connection 2||
1429680235570|2|statement|connection 3|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429680235578|1|commit|connection 3||
1429680242173|7|statement|connection 4|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('world', 'hello', '4028b8814cdf9507014cdf953db70000')
1429680242275|100|commit|connection 4||
1429680242293|1|statement|connection 5|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429680242298|1|commit|connection 5||
1429680260462|1|rollback|connection 6||
1429680343843|1|rollback|connection 2||
1429680396754|141|statement|connection 2|delete from person where id=?|delete from person where id='4028b8814cdf9507014cdf953db70000'
1429680396810|51|commit|connection 2||
1429680396921|73|statement|connection 3|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429680396953|0|commit|connection 3||
1429680406973|1|statement|connection 4|delete from person where id=?|delete from person where id='4028b8814cdf8d05014cdf8d39dd0000'
1429680407114|140|commit|connection 4||
1429680407122|1|statement|connection 5|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429680407129|2|commit|connection 5||
1429680416110|5|statement|connection 6|delete from person where id=?|delete from person where id='4028b8814cdc9b1f014cdc9b7d2d0004'
1429680416183|72|commit|connection 6||
1429680416192|3|statement|connection 7|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429680416200|1|commit|connection 7||
1429682547058|2|statement|connection 8|delete from person where id=?|delete from person where id='4028b8814cdc9b1f014cdc9b7d2d0004'
1429682547060|0|commit|connection 8||
1429682547063|0|statement|connection 9|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682547068|0|commit|connection 9||
1429682556453|2|statement|connection 10|delete from person where id=?|delete from person where id='4028b8814cdc9b1f014cdc9b7ad10003'
1429682556575|121|commit|connection 10||
1429682556580|0|statement|connection 11|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682556582|0|commit|connection 11||
1429682561665|2|statement|connection 12|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682561669|1|commit|connection 12||
1429682563737|2|statement|connection 13|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682563743|1|commit|connection 13||
1429682565992|2|statement|connection 14|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682565998|1|commit|connection 14||
1429682566521|1|statement|connection 15|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682566522|0|commit|connection 15||
1429682567009|1|statement|connection 16|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682567014|0|commit|connection 16||
1429682599256|1|statement|connection 17|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682599261|1|commit|connection 17||
1429682603449|2|statement|connection 18|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429682603454|1|commit|connection 18||
1429683020061|51|statement|connection 2|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683020086|0|commit|connection 2||
1429683033714|2|statement|connection 3|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683033720|1|commit|connection 3||
1429683046159|1|statement|connection 4|delete from person where id=?|delete from person where id='4028b8814cdc9b1f014cdc9b77ef0002'
1429683046291|131|commit|connection 4||
1429683046298|1|statement|connection 5|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683046302|1|commit|connection 5||
1429683053637|1|statement|connection 6|delete from person where id=?|delete from person where id='4028b8814cdc9b1f014cdc9b6d000001'
1429683053915|276|commit|connection 6||
1429683053923|2|statement|connection 7|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683053928|1|commit|connection 7||
1429683067151|1|statement|connection 8|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('spring', 'hello', '4028b8814cdfbf99014cdfc058f30000')
1429683067250|99|commit|connection 8||
1429683067259|2|statement|connection 9|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683067265|1|commit|connection 9||
1429683077456|1|statement|connection 10|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683077459|0|commit|connection 10||
1429683164637|0|statement|connection 11|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683164640|0|commit|connection 11||
1429683172664|1|statement|connection 12|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('chu', 'amos', '4028b8814cdfbf99014cdfc1f5360001')
1429683172744|80|commit|connection 12||
1429683172748|1|statement|connection 13|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683172750|0|commit|connection 13||
1429683178230|2|statement|connection 14|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('ma', 'marvin', '4028b8814cdfbf99014cdfc20af30002')
1429683178300|70|commit|connection 14||
1429683178305|1|statement|connection 15|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683178308|0|commit|connection 15||
1429683181239|3|statement|connection 16|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('ma', 'marvin', '4028b8814cdfbf99014cdfc216b20003')
1429683181310|68|commit|connection 16||
1429683181319|1|statement|connection 17|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683181327|1|commit|connection 17||
1429683185375|2|statement|connection 18|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('ma', 'marvin', '4028b8814cdfbf99014cdfc226db0004')
1429683185482|106|commit|connection 18||
1429683185503|8|statement|connection 19|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683185508|0|commit|connection 19||
1429683195709|2|statement|connection 20|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('ma', 'marvin', '4028b8814cdfbf99014cdfc24f390005')
1429683195767|58|commit|connection 20||
1429683195771|1|statement|connection 21|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683195774|0|commit|connection 21||
1429683199063|1|statement|connection 22|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('ma', 'marvin', '4028b8814cdfbf99014cdfc25c540006')
1429683199162|98|commit|connection 22||
1429683199165|0|statement|connection 23|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683199168|0|commit|connection 23||
1429683218759|2|statement|connection 24|delete from person where id=?|delete from person where id='4028b8814cdfbf99014cdfc25c540006'
1429683218834|73|commit|connection 24||
1429683218840|2|statement|connection 25|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683218846|1|commit|connection 25||
1429683223512|2|statement|connection 26|delete from person where id=?|delete from person where id='4028b8814cdfbf99014cdfc24f390005'
1429683223582|68|commit|connection 26||
1429683223586|1|statement|connection 27|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683223590|0|commit|connection 27||
1429683229351|1|statement|connection 28|delete from person where id=?|delete from person where id='4028b8814cdfbf99014cdfc226db0004'
1429683229497|146|commit|connection 28||
1429683229505|3|statement|connection 29|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683229512|1|commit|connection 29||
1429683233476|2|statement|connection 30|delete from person where id=?|delete from person where id='4028b8814cdfbf99014cdfc216b20003'
1429683233655|178|commit|connection 30||
1429683233666|5|statement|connection 31|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683233672|0|commit|connection 31||
1429683242735|2|statement|connection 32|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('lu', 'jarvis', '4028b8814cdfbf99014cdfc306ea0007')
1429683242867|131|commit|connection 32||
1429683242871|1|statement|connection 33|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683242875|1|commit|connection 33||
1429683282633|2|statement|connection 34|insert into person (address, name, id) values (?, ?, ?)|insert into person (address, name, id) values ('yang', 'alisa', '4028b8814cdfbf99014cdfc3a2c50008')
1429683282761|128|commit|connection 34||
1429683282770|3|statement|connection 35|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683282779|0|commit|connection 35||
1429683706972|1|statement|connection 36|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683706975|1|commit|connection 36||
1429683708053|1|statement|connection 37|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683708057|0|commit|connection 37||
1429683942176|71|statement|connection 2|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_|select person0_.id as id1_0_, person0_.address as address2_0_, person0_.name as name3_0_ from person person0_
1429683942215|0|commit|connection 2||
